Designator,Name,JLC Part #,Price,Qty
" C1-C5, C7",10u,C83061,$0.1200 ,6
" C6, C8",22u,C76637,$0.4000 ,2
    D1,SM4007PL,C64898,$0.0071 ,1
    D2,KT-0603R,C2286,$0.0054 ,1
    J1,Conn_01x04_Pin,C2691448,$0.0217 ,1
    J3,Conn_01x03_Pin,C2691448,$0.0217 ,1
    LED-Blue1,LED,C72041,$0.0179 ,1
    LED-Red1,LED,C2286,$0.0054 ,1
    Q1,2N7002,C8545,$0.0153 ,1
    R1,1.2k,C103956,$0.0021 ,1
    R2,100ohms ,C153111,$0.0026 ,1
"R3-R5, R9",1k,C105637,$0.0020 ,4
    R6,330ohms,C105879,$0.0010 ,1
    R7,180k,C103362,$0.0013 ,1
    R8,4.7k,C105871,$0.0007 ,1
    U1,TP4056,C725790,$0.0897 ,1
    U2,DW01A,C2927799,$0.0408 ,1
    U3,FS8205A,C2830320,$0.0605 ,1
    U4,AMS1117-3.3,C347222,$0.0378 ,1
    U5,TL432DBZ,C171428,$0.0540 ,1
" U6, U7",AMS1117-1.8,C347220,$0.0878 ,2
,,Total,$0.9948 ,
